"","X4","X5"
"1","Pos","Height"
"2","G","1.89"
"3","D","1.90"
"4","D","1.88"
"5","M","1.80"
"6","M","1.78"
"7","M","1.68"
"8","M","1.89"
"9","F","1.86"
"10","M","1.73"
"11","M","1.69"
"12","M","1.91"
"13","G","1.86"
"14","M","1.81"
"15","F","1.92"
"16","M","1.77"
"17","D","1.82"
"18","M","1.75"
"19","D","1.93"
"20","D","1.88"
"21","D","1.78"
"22","D","1.89"
"23","G","1.91"
"24","D","1.76"
"25","M","1.72"
"26","F","1.86"
"27","D","1.82"
"28","D","1.87"
"29","G","1.88"
"30","F","1.76"
"31","G","1.99"
"32","M","1.70"
"33","M","1.83"
"34","Players no longer at this club","Players no longer at this club"
"35","Pos","Height"
"36","D","1.84"
"37","M","1.85"
"38","D","1.82"
"39","F","1.90"
"40","M","1.73"
"41","D","1.81"
"42","M","1.80"
"43","M","1.77"
"44","F","1.89"
"45","F","1.82"
